index,Industry,url,Position,Company,Location,Job_Description
0,IT,https://www.glassdoor.co.in/partner/jobListing.htm?pos=116&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_9a358e42&cb=1585905389882&jobListingId=3540582235,Software Testing Internship,Smart Food Safe Solutions Inc,Colombo,"About the company:
Smart Food Safe Solutions Inc. is a food safety compliance and resource management solution designed for global small to medium scale food processing industries by using domain-specific functional expertise in the form of latest internet-based smart technologies such as Blockchain, IoT, Cloud Computing, Machine learning, Artificial Intelligence, etc.

About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Reviewing software requirements and preparing test cases 2. Execute test cases (manual or automated) and analyze results 3. Evaluate product code according to specifications 4. Report bugs and errors to development teams 5. Work with cross-functional teams to ensure quality throughout the software development lifecycle 6. Exposure to regression, API or performance testing tools will be added advantage

Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 25th Mar'20 and 24th Apr'20
are available for duration of 6 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply

Number of internships/jobs available: 2

Categories: Software Testing,Computer Science,Engineering"
1,IT,https://www.glassdoor.co.in/partner/jobListing.htm?pos=111&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&ea=1&cs=1_0d6c2ef3&cb=1585905389878&jobListingId=3520570004,Embedded Software Testing,Mobiveil,Colombo,"Location : Bangalore
Experience : 4+ Years

Job Description :
Good in different type of testing and proficient in Python Based Test Script Automation
Good experienced in Embedded system testing and should own a module/component end 2 end.
Must be willing to test manually if tests canâ€™t be automated due to complexity
How to Apply:
Email your resumes to jobs@mobiveil.com with the job title in the subject line."
2,IT,https://www.glassdoor.co.in/partner/jobListing.htm?pos=120&ao=783550&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&ea=1&cs=1_8697a684&cb=1585905389886&jobListingId=3237193091,Senior Engineer - Software Testing (Bangalore Office),Open Systems International,Colombo,"Open Systems International, Inc. (OSI) www.osii.com is a fast-paced, growing, high technology company, headquartered in Medina, Minnesota. As a world leader in the Operations Technology (OT) field, OSI develops and supplies state-of-the-art energy management, optimization and control software solutions to energy utility companies worldwide.

We currently have openings for Senior Engineer- Software Testing. Specific on-the-job training will be provided. In this position - located in our ITPB, Whitefield, Bangalore, India office - you will have the following responsibilities:
Work with software development groups that create the product as well as engineering groups that deploy the product.
Work with scrum team(s) to ensure high quality products and superior customer satisfaction.
Author, execute and maintain test charters, test cases, procedures and plans, automated test scripts and code.
Design, develop, implement and improve various test methodologies, plans and automation.
Review defect descriptions, requirements, and designs to incorporate into test plans.
Installation automation, test automation, release automation and system administration.
Build and Configure Continuous Integration setup for test environments.
Requirements

Minimum
Bachelor's degree in Computer Science, Software Engineering or equivalent.
Strong hands-on 2+ yearsâ€™ experience on Test Automation.
3 to 6 years of software Quality Assurance / Testing experience.
Extensive knowledge of industry-leading QA tools and methodologies.
Strong understanding of automated testing best practices.
High level scripting skills (Python, Perl, Shell scripting).
Demonstrated ability in creating and communicating testing status dashboards.
Proficiency with Linux, Windows and UNIX environments.
Proficiency with a source control system (such as CVS, Subversion, Git, etc.).
Excellent written, verbal and interpersonal communication skills; comfortable communicating and working with geographically distributed teams.
Innate desires to automate, monitor and continually improve everything in sight.
System Administration experience.

Preferred
Masterâ€™s degree in Computer Science, Software Engineering or equivalent.
Experience with Quality Assurance within an Agile methodology.
Experience with automation frameworks (Selenium, Robot, Apache JMeter).
Experience with evaluating, recommending, and deploying new tools and technologies to continually improve the efficiency and effectiveness of the Quality Assurance process.
Experience with various database technologies (such as MySQL, Cassandra, MongoDB).
Experience in server virtualization, especially VMWare and VSphere.
General networking skills (Layer 2 & 3 switches, TCP/IP, SNMP, etc.).
Benefits

OSI offers a comprehensive benefit package to our full-time regular employees. Additional perks include flexible work hours, employee events, casual dress code and more. Check out our Life at OSI Facebook page to see more.

As an employee of OSI you will have access to cutting edge technologies in a fun, professional, positive and dynamic work environment. We have excellent opportunities for growth and development."
3,IT,https://www.glassdoor.co.in/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_2c06a9e0&cb=1585905389872&jobListingId=3180606929,Software Testing Engineer,Bloom Solutions,Colombo,"About the Job

Software Testing Engineer


Job
Description

Require Strong Development & Test Resources for RBT Team.
Development main skill: MySQL
MySQL Programming ( Functions, Programs, Views â€¦)
MySQL Developers
Basic Knowledge of Oracle

Experience

2 - 8 years

What You Need for this Position

You should have knowledge of:
MySQL
Functions
Programs
Oracle"
4,IT,https://www.glassdoor.co.in/partner/jobListing.htm?pos=118&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_93a88a52&cb=1585905389884&jobListingId=3365880913,CIEL/SEL/1888: Software testing Engineer,CIEL HR Services,Kandy,it is seen by best one for all people
5,IT,https://www.glassdoor.co.in/partner/jobListing.htm?pos=102&ao=915697&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_063bc00b&cb=1585905389869&jobListingId=3453487108,Senior Specialist - Software Testing,Diageo,Colombo,Python with
6,IT,https://www.glassdoor.co.in/partner/jobListing.htm?pos=117&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_53c1ac84&cb=1585905389883&jobListingId=3511361112,Computer administrator,Superior Group,Colombo,"Network Engineers primarily handle installing, configuring, and supporting firewalls to ensure network security. They are also responsible for procuring equipment like routers or switches, which provides the best possible efficiency in an office's IT infrastructure."
7,IT,https://www.glassdoor.co.in/partner/jobListing.htm?pos=107&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_efa0c195&cb=1585905389874&jobListingId=3426357617,Software Testing Engineer,Bangalore Base Company,Colombo,"Have a strong understanding of quality assurance and testing processes within an Agile environment with an eye toward innovating and improving test processes

Strong experience client Server / Web app testing

Solid QA experience in Manual Testing

Experience in API / Web Services Testing

Fair knowledge of SQL

Good understanding of testing best practices and STLC. Good knowledge in industry in mobile testing methodologies.

Record all usability goals, suggestions and guidelines at suitable intervals in project lifecycle.
Design as well as prototype user interfaces (typically in HTML).

Execute remote as well as onsite usability testing at different points in design process (and post-launch).

Ensure to collaborate with creative teams as well as web developers to develop front-end interface.
Perform data analysis as well as interpretation.

Well versed in both quantitative and qualitative research method"
8,IT,https://www.glassdoor.co.in/partner/jobListing.htm?pos=106&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_375f7455&cb=1585905389873&jobListingId=3200115087,Software Testing Engineer,Bloom Consulting Services,Colombo,Python with selenium
9,IT,https://www.glassdoor.co.in/partner/jobListing.htm?pos=101&ao=437149&s=58&guid=000001713f53d0978b0af3260c04bd61&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&cs=1_73c1428c&cb=1585905389868&jobListingId=3203470010,Manul Tester,Ample Technologies,Colombo,Information system management knowledge
